orden,ORDEN,IDREGION,IDCDP,CODGEO,REGION,DEPROV,COMUNA,RBD,DVRBD,NOMBRE,ALUMNOS,DDCIA,DDCIA_N,RURALIDAD,RURALIDAD_N,GRUPO,GRUPO_N,ALUM_LEN,ALUM_MAT,ALUM_NAT,PROM_LEN,PROM_MAT,Nivel Logro,PROM_NAT,DIF_LEN,SIG_LEN,DIF_MAT,SIG_MAT,DIF_NAT,SIG_NAT,DIFGRU_LEN,SIGGRU_LEN,DIFGRU_MAT,SIGGRU_MAT,DIFGRU_NAT,SIGGRU_NAT
1,61,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,5,1,Liceo Jovina Naranjo Fernández,18,MD,2,U,1,B,1,18,18,18,233,210,Inicial,217,-2,0,-24,-1,-25,-1,-13,-1,-24,-1,-24,-1
2,18,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,8,6,Colegio Integral Eduardo Frei Montalva,45,MD,2,U,1,C,2,42,44,44,260,236,Intermedio,238,15,1,-13,-1,3,0,-3,0,-18,-1,-18,-1
3,51,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,9,4,Escuela República de Israel,160,MD,2,U,1,D,3,159,158,159,273,263,Intermedio,265,-2,0,0,0,3,0,-11,-1,-16,-1,-16,-1
4,39,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,12,4,Escuela General José Miguel Carrera,40,MD,2,U,1,B,1,40,40,40,233,223,Inicial,219,-14,-1,-16,-1,-17,-1,-13,-1,-11,-1,-11,-1
5,46,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,13,2,Escuela Manuel Rodríguez Erdoyza,31,MD,2,U,1,B,1,31,31,31,248,258,Intermedio,246,9,0,44,1,10,0,2,0,24,1,24,1
6,54,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,17,5,Escuela Subteniente Luis Cruz Martínez,18,MD,2,U,1,B,1,17,18,18,251,275,Intermedio,261,14,0,57,1,14,0,5,0,41,1,41,1
7,33,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,18,3,Escuela Comandante Juan José San Martín,33,MD,2,U,1,B,1,32,29,30,245,237,Intermedio,230,-6,0,5,0,-14,-1,-1,0,3,0,3,0
8,42,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,19,1,Escuela Humberto Valenzuela García,33,MD,2,U,1,B,1,33,33,33,219,221,Inicial,227,-9,0,9,0,-6,0,-27,-1,-13,-1,-13,-1
9,55,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,20,5,Escuela Tucapel,36,MD,2,U,1,B,1,36,36,36,228,217,Inicial,220,5,0,22,1,10,0,-18,-1,-17,-1,-17,-1
10,36,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,27,2,Escuela Esmeralda,19,MD,2,U,1,C,2,19,17,17,267,248,Intermedio,250,28,1,20,1,18,1,4,0,-6,0,-6,0
11,52,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,28,0,Escuela Ricardo Silva Arriagada,36,MD,2,U,1,C,2,36,36,36,243,236,Intermedio,237,3,0,14,0,-3,0,-20,-1,-18,-1,-18,-1
12,34,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,31,0,Escuela Darío Salas Díaz,23,MD,2,R,0,B,1,21,20,18,266,234,Intermedio,239,4,0,-3,0,32,1,20,1,0,0,0,0
14,31,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,33,7,Escuela Carlos Condell de La Haza,15,MD,2,R,0,B,1,15,15,15,243,226,Inicial,236,-12,0,-1,0,20,0,-3,0,-8,0,-8,0
16,37,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,38,8,Escuela España,29,MD,2,R,0,B,1,29,28,28,228,231,Inicial,222,-33,-1,-22,-1,-20,-1,-18,-1,-3,0,-3,0
18,9,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,50,7,Colegio Adventista,50,PS,4,R,0,C,2,50,49,49,265,249,Intermedio,272,8,0,10,0,6,0,2,0,-5,0,-5,0
20,60,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,52,3,Liceo Domingo Santa María,240,PS,4,U,1,C,2,239,235,239,305,309,Avanzado,304,8,0,14,1,11,1,42,1,55,1,55,1
21,57,15,151,15101,Región de Arica-Parinacota,Arica - Parinacota,Arica,69,8,Junior College,33,PP,3,U,1,E,4,33,33,33,280,284,Intermedio,281,-19,-1,-10,0,-18,-1,-22,-1,-20,-1,-20,-1
23,78,15,151,15201,Región de Arica-Parinacota,Arica - Parinacota,Putre,78,7,Liceo Granaderos,16,MD,2,U,1,B,1,16,16,16,245,276,Intermedio,248,-13,0,31,1,37,1,-1,0,42,1,42,1
27,161,1,13,1301,Región de Tarapacá,Iquique,Iquique,103,1,Escuela Básica Desarrollo Artístico Violeta Parra,60,MC,1,U,1,C,2,59,57,56,237,212,Inicial,221,-10,0,-4,0,3,0,-26,-1,-42,-1,-42,-1
28,166,1,13,1301,Región de Tarapacá,Iquique,Iquique,111,2,Escuela Gabriela Mistral,53,MC,1,U,1,B,1,52,53,53,242,223,Inicial,239,36,1,26,1,31,1,-4,0,-11,-1,-11,-1
29,165,1,13,1301,Región de Tarapacá,Iquique,Iquique,112,0,Escuela Eduardo Llanos,56,MC,1,U,1,B,1,54,56,56,221,214,Inicial,216,19,1,34,1,5,0,-25,-1,-20,-1,-20,-1
31,171,1,13,1301,Región de Tarapacá,Iquique,Iquique,114,7,Escuela Plácido Villarroel,31,MC,1,U,1,C,2,30,28,28,207,190,Inicial,194,-26,-1,-33,-1,-17,-1,-56,-1,-64,-1,-64,-1
32,170,1,13,1301,Región de Tarapacá,Iquique,Iquique,117,1,Escuela Paula Jaraquemada,58,MC,1,U,1,C,2,56,54,55,201,189,Inicial,206,-26,-1,-25,-1,-12,0,-62,-1,-65,-1,-65,-1
33,173,1,13,1301,Región de Tarapacá,Iquique,Iquique,122,8,Escuela Thilda Portillo Olivares,35,MC,1,U,1,C,2,34,35,35,257,237,Intermedio,222,29,1,32,1,-5,0,-6,0,-17,-1,-17,-1
34,172,1,13,1301,Región de Tarapacá,Iquique,Iquique,125,2,Escuela Profesor Manuel Castro Ramos,97,MC,1,U,1,C,2,95,96,97,246,225,Inicial,250,5,0,-10,-1,-3,0,-17,-1,-29,-1,-29,-1
35,152,1,13,1301,Región de Tarapacá,Iquique,Iquique,126,0,Colegio República de Italia,69,MC,1,U,1,B,1,41,68,67,240,218,Inicial,232,5,0,-2,0,-6,0,-6,0,-16,-1,-16,-1
36,179,1,13,1301,Región de Tarapacá,Iquique,Iquique,127,9,Liceo María Auxiliadora,64,PS,4,U,1,D,3,64,64,64,316,294,Avanzado,298,17,1,-3,0,13,1,32,1,15,1,15,1
37,182,1,13,1301,Región de Tarapacá,Iquique,Iquique,129,5,Liceo Superior Gabriela Mistral,7,PS,4,U,1,B,1,6,7,7,256,262,Intermedio,267,53,1,82,1,73,1,10,0,28,1,28,1
38,176,1,13,1301,Región de Tarapacá,Iquique,Iquique,132,5,Liceo Academia Iquique,109,PS,4,U,1,D,3,108,109,109,287,284,Intermedio,284,10,0,12,1,-4,0,3,0,5,1,5,1
39,137,1,13,1301,Región de Tarapacá,Iquique,Iquique,133,3,Colegio Adventista de Iquique,21,PS,4,U,1,C,2,20,20,19,270,270,Intermedio,277,21,1,22,1,38,1,7,0,16,1,16,1
40,185,1,13,1301,Región de Tarapacá,Iquique,Iquique,144,9,Young School,37,PS,4,U,1,C,2,36,37,37,260,243,Intermedio,251,20,1,16,1,-1,0,-3,0,-11,-1,-11,-1
43,129,1,13,1402,Región de Tarapacá,Iquique,Huara,162,7,Escuela Sibaya,7,MD,2,R,0,A,0,7,7,7,190,203,Inicial,186,-,,-,,-,,-50,-1,-20,-1,-20,-1
44,110,1,13,1403,Región de Tarapacá,Iquique,Camiña,167,8,Escuela Camiña,7,MD,2,U,1,A,0,7,7,7,244,248,Intermedio,219,-10,0,19,0,-21,0,4,0,25,1,25,1
51,121,1,13,1404,Región de Tarapacá,Iquique,Colchane,178,3,Escuela Básica Fronteriza Colchane,7,MD,2,U,1,A,0,6,7,7,250,245,Intermedio,244,-6,0,44,1,20,0,10,0,22,1,22,1
53,190,1,13,1405,Región de Tarapacá,Iquique,Pica,187,2,Escuela Vertiente del Saber,27,MD,2,U,1,B,1,27,26,25,214,210,Inicial,208,-47,-1,-59,-1,-27,-1,-32,-1,-24,-1,-24,-1
54,188,1,13,1405,Región de Tarapacá,Iquique,Pica,188,0,Escuela Matilla de Nueva Extremadura,9,MD,2,R,0,B,1,9,9,9,256,279,Intermedio,253,1,0,42,1,-,,10,0,45,1,45,1
55,199,1,13,1406,Región de Tarapacá,Iquique,Pozo Almonte,192,9,Escuela Básica Mamiña,12,MC,1,R,0,B,1,10,10,11,221,221,Inicial,216,-14,0,33,1,4,0,-25,-1,-13,0,-13,0
56,200,1,13,1406,Región de Tarapacá,Iquique,Pozo Almonte,193,7,Escuela Básica Pozo Almonte,38,MC,1,U,1,B,1,33,34,31,237,220,Inicial,226,-3,0,5,0,3,0,-9,-1,-14,-1,-14,-1
59,354,2,21,2101,Región de Antofagasta,Tocopilla - Antofagasta,Tocopilla,203,8,Escuela Básica Pablo Neruda,54,MD,2,U,1,B,1,54,51,51,231,204,Inicial,231,-12,0,-18,-1,-4,0,-15,-1,-30,-1,-30,-1
60,353,2,21,2101,Región de Antofagasta,Tocopilla - Antofagasta,Tocopilla,204,6,Escuela Básica Libertador General Bernardo O'Higgins Riquelme,41,MD,2,U,1,A,0,41,10,10,203,210,Inicial,206,3,0,21,0,-8,0,-37,-1,-13,0,-13,0
61,350,2,21,2101,Región de Antofagasta,Tocopilla - Antofagasta,Tocopilla,205,4,Escuela Básica Arturo Prat Chacón,54,MD,2,U,1,B,1,53,51,51,217,206,Inicial,203,-28,-1,-51,-1,-22,-1,-29,-1,-28,-1,-28,-1
62,349,2,21,2101,Región de Antofagasta,Tocopilla - Antofagasta,Tocopilla,208,9,Colegio Sagrada Familia,76,PS,4,U,1,D,3,75,76,76,275,248,Intermedio,269,13,1,-4,0,20,1,-9,-1,-31,-1,-31,-1
66,230,2,22,2201,Región de Antofagasta,El Loa,Calama,227,5,Escuela Básica Presidente Balmaceda,191,MC,1,U,1,C,2,183,189,189,233,230,Inicial,227,-3,0,4,0,-5,0,-30,-1,-24,-1,-24,-1
67,220,2,22,2201,Región de Antofagasta,El Loa,Calama,230,5,Escuela Básica Andrés Bello,41,MC,1,U,1,C,2,40,32,31,242,209,Inicial,221,9,0,-4,0,-16,-1,-21,-1,-45,-1,-45,-1
69,235,2,22,2201,Región de Antofagasta,El Loa,Calama,234,8,Escuela Básica República del Ecuador,35,MC,1,U,1,A,0,35,35,35,211,201,Inicial,206,-8,0,-9,0,1,0,-29,-1,-22,-1,-22,-1
70,219,2,22,2201,Región de Antofagasta,El Loa,Calama,239,9,Escuela Básica 21 de Mayo,46,MC,1,U,1,B,1,46,41,41,233,211,Inicial,216,6,0,-5,0,-15,-1,-13,-1,-23,-1,-23,-1
73,207,2,22,2201,Región de Antofagasta,El Loa,Calama,253,4,Colegio Adventista Calama,78,PS,4,U,1,D,3,77,77,77,259,244,Intermedio,247,-4,0,-3,0,-13,-1,-25,-1,-35,-1,-35,-1
74,222,2,22,2201,Región de Antofagasta,El Loa,Calama,255,0,Escuela Básica Ejército de Salvación,69,PS,4,U,1,C,2,69,69,69,255,240,Intermedio,224,-8,0,-5,0,-42,-1,-8,-1,-14,-1,-14,-1
75,239,2,22,2201,Región de Antofagasta,El Loa,Calama,256,9,Instituto Obispo Silva Lezaeta,139,PS,4,U,1,D,3,139,139,139,271,253,Intermedio,262,-4,0,-12,-1,-5,0,-13,-1,-26,-1,-26,-1
76,209,2,22,2201,Región de Antofagasta,El Loa,Calama,257,7,Colegio Chuquicamata,105,PS,4,U,1,E,4,104,102,102,305,294,Avanzado,303,-15,-1,-15,-1,0,0,3,0,-10,-1,-10,-1
77,243,2,22,2202,Región de Antofagasta,El Loa,Ollagüe,268,2,Escuela Básica San Antonio de Padua,6,MD,2,R,0,B,1,6,6,6,237,205,Inicial,234,-,,-,,-,,-9,0,-29,-1,-29,-1
78,250,2,22,2203,Región de Antofagasta,El Loa,San Pedro de Atacama,270,4,Escuela Básica Toconao,17,MD,2,U,1,C,2,16,16,17,295,279,Intermedio,269,43,1,62,1,11,0,32,1,25,1,25,1
80,299,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,291,7,Escuela Básica Padre Gustavo Le Paige de Walgue,96,MC,1,U,1,C,2,92,93,91,247,234,Intermedio,232,6,0,13,1,-16,-1,-16,-1,-20,-1,-20,-1
84,280,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,298,4,Escuela Básica Darío Salas Díaz,49,MC,1,U,1,C,2,48,46,46,243,226,Inicial,233,-17,-1,-3,0,16,1,-20,-1,-28,-1,-28,-1
86,292,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,302,6,Escuela Básica Juan López,46,MC,1,U,1,B,1,44,45,45,238,233,Intermedio,221,9,0,25,1,4,0,-8,-1,-1,0,-1,0
88,288,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,306,9,Escuela Básica Huanchaca,42,MC,1,U,1,C,2,42,40,40,238,219,Inicial,228,2,0,8,0,13,1,-25,-1,-35,-1,-35,-1
89,278,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,310,7,Escuela Básica Claudio Matte Pérez,63,MC,1,U,1,C,2,58,61,59,243,234,Intermedio,237,2,0,-13,-1,5,0,-20,-1,-20,-1,-20,-1
90,304,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,312,3,Escuela Básica República del Ecuador,58,MC,1,U,1,C,2,56,50,50,258,239,Intermedio,243,4,0,16,1,2,0,-5,0,-15,-1,-15,-1
91,277,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,313,1,Escuela Básica Arturo Prat Chacón,108,MC,1,U,1,C,2,105,105,105,259,239,Intermedio,250,3,0,-3,0,27,1,-4,0,-15,-1,-15,-1
92,295,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,316,6,Escuela Básica Las Américas,69,MC,1,U,1,C,2,69,69,69,239,233,Intermedio,227,0,0,19,1,-5,0,-24,-1,-21,-1,-21,-1
93,296,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,317,4,Escuela Básica Las Rocas,122,MC,1,U,1,C,2,112,117,117,254,228,Inicial,235,12,1,6,0,5,0,-9,-1,-26,-1,-26,-1
94,281,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,318,2,Escuela Básica Edda Cuneo Donaggio,31,MC,1,U,1,D,3,31,31,31,292,285,Intermedio,278,6,0,-10,0,1,0,8,1,6,0,6,0
96,283,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,324,7,Escuela Básica Fundación Minera Escondida,47,MC,1,U,1,B,1,43,46,45,206,194,Inicial,198,-38,-1,-25,-1,-30,-1,-40,-1,-40,-1,-40,-1
97,286,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,326,3,Escuela Básica General Santiago Amengual Balbontín,31,MC,1,U,1,B,1,27,30,30,202,201,Inicial,212,-18,-1,-4,0,5,0,-44,-1,-33,-1,-33,-1
98,297,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,329,8,Escuela Básica Libertadores de Chile,27,MC,1,U,1,D,3,27,25,25,264,249,Intermedio,246,0,0,1,0,-12,0,-20,-1,-30,-1,-30,-1
99,284,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,332,8,Escuela Básica Gabriela Mistral,34,MC,1,U,1,B,1,34,32,31,227,205,Inicial,209,-18,-1,-20,-1,-5,0,-19,-1,-29,-1,-29,-1
100,261,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,335,2,Colegio Evangélico José Lancaster,38,PS,4,U,1,B,1,38,38,38,238,216,Inicial,231,14,1,16,1,23,1,-8,-1,-18,-1,-18,-1
101,317,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,336,0,Liceo Experimental Artístico y de Aplicación,84,PS,4,U,1,D,3,84,84,84,295,282,Intermedio,276,14,1,24,1,4,0,11,1,3,0,3,0
102,264,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,342,5,Colegio Inglés San José,80,PS,4,U,1,D,3,76,80,80,302,300,Avanzado,300,2,0,16,1,13,1,18,1,21,1,21,1
103,300,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,343,3,Escuela Básica Presbiteriana,74,PS,4,U,1,D,3,73,73,74,266,248,Intermedio,251,6,0,0,0,-9,0,-18,-1,-31,-1,-31,-1
104,271,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,344,1,Colegio Santa Emilia,85,PS,4,U,1,D,3,84,85,85,297,280,Intermedio,286,9,0,7,0,13,1,13,1,1,0,1,0
105,298,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,350,6,Escuela Básica Lidia Moreno,52,PS,4,U,1,D,3,52,52,52,318,297,Avanzado,294,15,1,-4,0,3,0,34,1,18,1,18,1
107,312,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,355,7,Instituto Chileno Norteamericano Cultura,24,PP,3,U,1,E,4,24,24,24,244,234,Intermedio,274,-31,-1,-35,-1,15,0,-58,-1,-70,-1,-70,-1
108,269,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,357,3,Colegio San Luis,68,PP,3,U,1,E,4,67,68,66,303,310,Avanzado,319,1,0,1,0,13,1,1,0,6,1,6,1
109,313,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,358,1,Instituto Santa María,39,PP,3,U,1,E,4,39,38,37,316,305,Avanzado,299,11,0,24,1,5,0,14,1,1,0,1,0
110,325,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,361,1,The Antofagasta British School,56,PP,3,U,1,E,4,56,54,54,303,307,Avanzado,308,-3,0,-7,0,-4,0,1,0,3,0,3,0
111,256,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,364,6,Colegio Antofagasta,55,PP,3,U,1,E,4,53,55,55,275,273,Intermedio,271,14,1,5,0,-3,0,-27,-1,-31,-1,-31,-1
112,273,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,365,4,Eagle School,35,PP,3,U,1,D,3,35,35,35,281,271,Intermedio,270,-14,0,-7,0,-16,-1,-3,0,-8,-1,-8,-1
113,311,2,21,2301,Región de Antofagasta,Tocopilla - Antofagasta,Antofagasta,366,2,Hrvatska Skola S. Esteban (Ex-J. Skola),67,PP,3,U,1,E,4,65,66,67,308,304,Avanzado,297,16,1,20,1,0,0,6,0,0,0,0,0
115,340,2,21,2303,Región de Antofagasta,Tocopilla - Antofagasta,Sierra Gorda,370,0,Escuela Básica Estación Baquedano (Ex-Lic. C-28),14,MD,2,U,1,C,2,12,14,14,237,221,Inicial,218,-7,0,-18,0,-51,-1,-26,-1,-33,-1,-33,-1
117,369,3,31,3101,Región de Atacama,Copiapó - Chañaral,Chañaral,380,8,Escuela Diego Portales Palazuelos,24,MD,2,U,1,B,1,24,23,23,209,191,Inicial,204,-36,-1,-36,-1,-2,0,-37,-1,-43,-1,-43,-1
118,373,3,31,3101,Región de Atacama,Copiapó - Chañaral,Chañaral,381,6,Escuela Pedro Lujan,17,MD,2,U,1,B,1,17,15,17,230,223,Inicial,231,-19,-1,6,0,0,0,-16,-1,-11,0,-11,0
119,418,3,31,3102,Región de Atacama,Copiapó - Chañaral,Diego de Almagro,391,3,Escuela Coeducacional Particular Oscar Yañez Pasten,59,PS,4,U,1,D,3,59,59,59,262,270,Intermedio,274,-18,-1,3,0,-7,0,-22,-1,-9,-1,-9,-1
122,392,3,31,3201,Región de Atacama,Copiapó - Chañaral,Copiapó,407,3,Escuela Jesús Fernández Hidalgo,40,MD,2,U,1,B,1,39,34,31,218,212,Inicial,222,-9,0,2,0,1,0,-28,-1,-22,-1,-22,-1
131,407,3,31,3201,Región de Atacama,Copiapó - Chañaral,Copiapó,429,4,Liceo Católico Atacama,144,PS,4,U,1,D,3,143,142,144,287,284,Intermedio,280,0,0,1,0,-16,-1,3,0,5,1,5,1
132,409,3,31,3201,Región de Atacama,Copiapó - Chañaral,Copiapó,430,8,Liceo Politécnico Belén,100,PS,4,U,1,C,2,100,100,98,266,251,Intermedio,262,-9,0,-13,-1,0,0,3,0,-3,0,-3,0
133,376,3,31,3201,Región de Atacama,Copiapó - Chañaral,Copiapó,433,2,Colegio Adventista de Copiapó,87,PS,4,U,1,C,2,85,86,87,267,252,Intermedio,265,2,0,2,0,8,0,4,0,-2,0,-2,0
134,405,3,31,3201,Región de Atacama,Copiapó - Chañaral,Copiapó,434,0,Escuela San Vicente de Paul,83,PS,4,U,1,C,2,82,79,80,230,229,Inicial,239,-25,-1,1,0,-19,-1,-33,-1,-25,-1,-25,-1
136,361,3,31,3202,Región de Atacama,Copiapó - Chañaral,Caldera,440,5,Colegio Parroquial Padre Negro,71,PS,4,U,1,C,2,71,71,70,275,272,Intermedio,274,18,1,17,1,22,1,12,1,18,1,18,1
137,424,3,31,3203,Región de Atacama,Copiapó - Chañaral,Tierra Amarilla,441,3,Escuela Concentración Fronteriza,20,MD,2,R,0,B,1,19,20,19,241,252,Intermedio,253,16,0,48,1,63,1,-5,0,18,1,18,1
139,428,3,31,3203,Región de Atacama,Copiapó - Chañaral,Tierra Amarilla,444,8,Escuela Luis Uribe Orrego,27,MD,2,U,1,A,0,26,23,25,222,238,Intermedio,234,-7,0,31,1,21,1,-18,-1,15,1,15,1
141,459,3,32,3301,Región de Atacama,Huasco,Vallenar,452,9,Escuela Gabriela Mistral,37,MD,2,U,1,B,1,37,36,36,257,252,Intermedio,253,6,0,18,1,35,1,11,1,18,1,18,1
143,469,3,32,3301,Región de Atacama,Huasco,Vallenar,455,3,Escuela República Estados Unidos,21,MD,2,U,1,C,2,21,20,20,243,245,Intermedio,245,-1,0,27,1,4,0,-20,-1,-9,-1,-9,-1
144,458,3,32,3301,Región de Atacama,Huasco,Vallenar,459,6,Escuela España,67,MD,2,U,1,B,1,61,63,61,236,250,Intermedio,246,-7,0,21,1,4,0,-10,-1,16,1,16,1
145,470,3,32,3301,Región de Atacama,Huasco,Vallenar,463,4,Escuela Roberto Cuadra Alquinta,15,MD,2,R,0,B,1,15,15,15,258,248,Intermedio,241,47,1,54,1,7,0,12,1,14,1,14,1
149,475,3,32,3301,Región de Atacama,Huasco,Vallenar,478,2,Liceo Santa Marta,89,PS,4,U,1,D,3,89,89,89,280,264,Intermedio,281,-1,0,-14,-1,-14,-1,-4,0,-15,-1,-15,-1
150,474,3,32,3301,Región de Atacama,Huasco,Vallenar,479,0,Liceo San Francisco,46,PS,4,U,1,D,3,46,46,46,291,271,Intermedio,280,16,1,18,1,8,0,7,1,-8,-1,-8,-1
151,441,3,32,3302,Región de Atacama,Huasco,Freirina,481,2,Escuela Alejandro Noemí Huerta,28,MD,2,U,1,B,1,28,27,27,268,237,Intermedio,246,6,0,-19,-1,9,0,22,1,3,0,3,0
152,449,3,32,3303,Región de Atacama,Huasco,Huasco,487,1,Escuela José Miguel Carrera,22,MD,2,U,1,B,1,21,21,21,254,257,Intermedio,259,20,1,38,1,57,1,8,1,23,1,23,1
153,448,3,32,3303,Región de Atacama,Huasco,Huasco,489,8,Escuela El Olivar,15,MD,2,R,0,B,1,15,14,14,242,224,Inicial,235,-4,0,12,0,-16,0,-4,0,-10,0,-10,0
155,435,3,32,3304,Región de Atacama,Huasco,Alto del Carmen,493,6,Escuela Básica Rural Educador Arturo Alvear,12,MD,2,R,0,A,0,12,12,12,257,240,Intermedio,250,22,1,12,0,-19,0,17,1,17,1,17,1
159,704,4,41,4101,Región de Coquimbo,Elqui,La Serena,519,3,Colegio Arturo Prat Chacón,83,MC,1,U,1,B,1,82,82,82,250,240,Intermedio,249,-7,0,8,0,20,1,4,0,6,1,6,1
160,729,4,41,4101,Región de Coquimbo,Elqui,La Serena,520,7,Colegio José Gaspar Marín Esquivel,11,MC,1,U,1,B,1,10,10,11,244,207,Inicial,241,11,0,-11,0,15,0,-2,0,-27,-1,-27,-1
161,699,4,41,4101,Región de Coquimbo,Elqui,La Serena,523,1,Colegio Alonso de Ercilla,37,MC,1,U,1,B,1,35,37,36,187,180,Inicial,195,-24,-1,-9,0,-19,-1,-59,-1,-54,-1,-54,-1
162,723,4,41,4101,Región de Coquimbo,Elqui,La Serena,527,4,Colegio Héroes de la Concepción,49,MC,1,U,1,B,1,44,46,46,247,239,Intermedio,242,30,1,28,1,19,1,1,0,5,0,5,0
163,742,4,41,4101,Región de Coquimbo,Elqui,La Serena,530,4,Colegio Municipal Gabriel González Videla,45,MC,1,U,1,C,2,44,45,45,276,288,Avanzado,286,24,1,54,1,56,1,13,1,34,1,34,1
164,747,4,41,4101,Región de Coquimbo,Elqui,La Serena,531,2,Colegio Pedro Aguirre Cerda,31,MC,1,U,1,B,1,31,30,30,257,219,Inicial,221,54,1,38,1,4,0,11,1,-15,-1,-15,-1
165,712,4,41,4101,Región de Coquimbo,Elqui,La Serena,533,9,Colegio Darío Salas,14,MC,1,U,1,A,0,10,13,11,212,190,Inicial,210,-1,0,-24,0,-24,-1,-28,-1,-33,-1,-33,-1
166,769,4,41,4101,Región de Coquimbo,Elqui,La Serena,534,7,Colegio Villa San Bartolomé,51,MC,1,U,1,B,1,50,43,43,245,230,Inicial,237,-2,0,-9,0,20,1,-1,0,-4,0,-4,0
167,731,4,41,4101,Región de Coquimbo,Elqui,La Serena,535,5,Colegio José Miguel Carrera,31,MC,1,U,1,C,2,30,31,31,256,257,Intermedio,255,-8,0,3,0,4,0,-7,-1,3,0,3,0
168,697,4,41,4101,Región de Coquimbo,Elqui,La Serena,539,8,Colegio Algarrobito,11,MC,1,R,0,B,1,11,11,11,281,285,Intermedio,289,-18,0,-1,0,37,1,35,1,51,1,51,1
169,735,4,41,4101,Región de Coquimbo,Elqui,La Serena,542,8,Colegio Lambert,15,MC,1,R,0,B,1,15,15,15,255,243,Intermedio,250,32,1,37,1,6,0,9,0,9,0,9,0
170,700,4,41,4101,Región de Coquimbo,Elqui,La Serena,543,6,Colegio Altovalsol,20,MC,1,R,0,B,1,19,20,20,238,238,Intermedio,253,19,1,64,1,45,1,-8,0,4,0,4,0
171,710,4,41,4101,Región de Coquimbo,Elqui,La Serena,546,0,Colegio Coquimbito,18,MC,1,R,0,B,1,18,18,18,257,257,Intermedio,245,6,0,31,1,3,0,11,1,23,1,23,1
172,696,4,41,4101,Región de Coquimbo,Elqui,La Serena,548,7,Colegio Alfalfares,17,MC,1,U,1,A,0,16,17,15,239,226,Inicial,246,11,0,33,1,-2,0,-1,0,3,0,3,0
176,762,4,41,4101,Región de Coquimbo,Elqui,La Serena,557,6,Colegio Saturno,14,MC,1,R,0,B,1,14,14,14,262,267,Intermedio,247,-8,0,5,0,4,0,16,1,33,1,33,1
178,751,4,41,4101,Región de Coquimbo,Elqui,La Serena,560,6,Colegio Quebrada de Talca,8,MC,1,R,0,A,0,8,8,8,284,270,Intermedio,270,20,0,21,0,14,0,44,1,47,1,47,1
